"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"2","0.000717","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1 Ack=90 Win=65535 Len=0"
"3","0.006702","157.240.196.60","10.0.2.15","TLSv1.2","294","Application Data"
"4","0.006728","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=90 Ack=241 Win=65535 Len=0"
"5","0.408621","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
"6","0.408652","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=90 Ack=497 Win=65535 Len=0"
"7","0.748441","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"8","0.752444","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=497 Ack=179 Win=65535 Len=0"
"9","0.862629","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"10","0.863163","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=497 Ack=268 Win=65535 Len=0"
"11","0.922398","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
"12","0.922422","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=268 Ack=753 Win=65535 Len=0"
"13","1.014151","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"14","1.023939","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=753 Ack=357 Win=65535 Len=0"
"15","1.770770","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
"16","1.770897","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=357 Ack=1009 Win=65535 Len=0"
"17","1.830943","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"18","1.831634","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1009 Ack=446 Win=65535 Len=0"
"21","2.980191","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
"22","2.980317","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=446 Ack=1265 Win=65535 Len=0"
"23","3.103032","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"24","3.103558","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1265 Ack=535 Win=65535 Len=0"
"25","3.851619","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"26","3.853253","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1265 Ack=604 Win=65535 Len=0"
"27","3.997494","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"28","3.997527","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=604 Ack=1336 Win=65535 Len=0"
"29","4.177192","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
"30","4.177324","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=604 Ack=1592 Win=65535 Len=0"
"31","4.264229","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"32","4.271164","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=1592 Ack=693 Win=65535 Len=0"
"33","6.503373","157.240.196.60","10.0.2.15","TCP","1514","443  >  59888 [ACK] Seq=1592 Ack=693 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"34","6.503555","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=693 Ack=3052 Win=65535 Len=0"
"35","6.504166","157.240.196.60","10.0.2.15","TLSv1.2","1515","Application Data, Application Data"
"36","6.504186","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=693 Ack=4513 Win=65535 Len=0"
"37","6.947196","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"38","6.955263","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=4513 Ack=782 Win=65535 Len=0"
"39","8.315611","157.240.196.60","10.0.2.15","TLSv1.2","1663","Application Data, Application Data"
"40","8.317410","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=782 Ack=6122 Win=65535 Len=0"
"41","8.558724","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"42","8.559526","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=6122 Ack=871 Win=65535 Len=0"
"43","11.068377","157.240.196.60","10.0.2.15","TLSv1.2","326","Application Data"
"44","11.068410","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=871 Ack=6394 Win=65535 Len=0"
"45","11.446595","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"46","11.447121","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=6394 Ack=960 Win=65535 Len=0"
"47","12.473827","157.240.196.60","10.0.2.15","TLSv1.2","326","Application Data"
"48","12.473854","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=960 Ack=6666 Win=65535 Len=0"
"49","12.619819","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"50","12.622500","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=6666 Ack=1049 Win=65535 Len=0"
"51","19.207487","157.240.196.60","10.0.2.15","TLSv1.2","342","Application Data"
"52","19.207581","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1049 Ack=6954 Win=65535 Len=0"
"53","19.610969","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"54","19.611359","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=6954 Ack=1138 Win=65535 Len=0"
"55","21.350072","157.240.196.60","10.0.2.15","TLSv1.2","342","Application Data"
"56","21.350391","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1138 Ack=7242 Win=65535 Len=0"
"57","21.536914","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"58","21.537410","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=7242 Ack=1227 Win=65535 Len=0"
"59","23.623285","157.240.196.60","10.0.2.15","TLSv1.2","342","Application Data"
"60","23.623313","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1227 Ack=7530 Win=65535 Len=0"
"61","23.794588","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"62","23.798453","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=7530 Ack=1316 Win=65535 Len=0"
"63","24.776015","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"64","24.777558","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=7530 Ack=1385 Win=65535 Len=0"
"65","24.928139","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"66","24.928197","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1385 Ack=7601 Win=65535 Len=0"
"67","24.975659","157.240.196.60","10.0.2.15","TLSv1.2","326","Application Data"
"68","24.975724","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1385 Ack=7873 Win=65535 Len=0"
"69","25.144137","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"70","25.144927","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=7873 Ack=1474 Win=65535 Len=0"
"71","26.639184","157.240.196.60","10.0.2.15","TLSv1.2","326","Application Data"
"72","26.639377","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1474 Ack=8145 Win=65535 Len=0"
"73","26.884962","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"74","26.885441","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=8145 Ack=1563 Win=65535 Len=0"
"75","28.867840","157.240.196.60","10.0.2.15","TLSv1.2","326","Application Data"
"76","28.867922","10.0.2.15","157.240.196.60","TCP","54","59888  >  443 [ACK] Seq=1563 Ack=8417 Win=65535 Len=0"
"77","29.074226","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"78","29.074769","157.240.196.60","10.0.2.15","TCP","54","443  >  59888 [ACK] Seq=8417 Ack=1652 Win=65535 Len=0"
"79","30.226466","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
