"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.240.196.60","10.0.2.15","TLSv1.2","270","Application Data"
"2","0.000289","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=1 Ack=217 Win=65535 Len=0"
"3","0.090135","10.0.2.15","157.240.196.60","TLSv1.2","148","Application Data"
"4","0.091591","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=217 Ack=95 Win=65535 Len=0"
"5","0.107784","10.0.2.15","157.240.196.60","TLSv1.2","129","Application Data"
"6","0.108155","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=217 Ack=170 Win=65535 Len=0"
"7","0.781802","10.0.2.15","157.240.195.56","TLSv1.2","93","Application Data"
"8","0.783108","157.240.195.56","10.0.2.15","TCP","54","443  >  33684 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"9","0.835910","157.240.195.56","10.0.2.15","TLSv1.2","93","Application Data"
"10","0.835971","10.0.2.15","157.240.195.56","TCP","54","33684  >  443 [ACK] Seq=40 Ack=40 Win=64032 Len=0"
"11","4.124204","10.0.2.15","157.240.196.60","TLSv1.2","124","Application Data"
"12","4.156507","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=217 Ack=240 Win=65535 Len=0"
"13","4.269772","157.240.196.60","10.0.2.15","TLSv1.2","126","Application Data"
"14","4.269801","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=240 Ack=289 Win=65535 Len=0"
"15","10.223295","157.240.196.60","10.0.2.15","TLSv1.2","295","Application Data"
"16","10.223669","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=240 Ack=530 Win=65535 Len=0"
"17","10.411301","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"18","10.413773","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=530 Ack=329 Win=65535 Len=0"
"19","12.083225","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"20","12.083255","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=329 Ack=787 Win=65535 Len=0"
"21","12.242649","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"22","12.243223","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=787 Ack=418 Win=65535 Len=0"
"23","13.754894","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"24","13.755214","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=418 Ack=1044 Win=65535 Len=0"
"25","13.953106","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"26","13.953904","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=1044 Ack=507 Win=65535 Len=0"
"27","14.471817","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"28","14.471850","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=507 Ack=1301 Win=65535 Len=0"
"29","14.544567","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"30","14.545318","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=1301 Ack=596 Win=65535 Len=0"
"31","14.957524","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"32","14.957602","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=596 Ack=1558 Win=65535 Len=0"
"33","15.350117","157.240.196.60","10.0.2.15","TLSv1.2","295","Application Data"
"34","15.350143","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=596 Ack=1799 Win=65535 Len=0"
"35","15.392469","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"36","15.393317","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=1799 Ack=685 Win=65535 Len=0"
"37","15.547788","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"38","15.551370","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=1799 Ack=774 Win=65535 Len=0"
"39","15.746883","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"40","15.746912","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=774 Ack=2056 Win=65535 Len=0"
"41","15.937774","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"42","15.938438","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=2056 Ack=863 Win=65535 Len=0"
"43","16.392075","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"44","16.392278","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=863 Ack=2313 Win=65535 Len=0"
"45","16.567626","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"46","16.568048","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=2313 Ack=952 Win=65535 Len=0"
"47","16.790557","10.0.2.15","157.240.196.60","TLSv1.2","93","Application Data"
"48","16.796033","157.240.196.60","10.0.2.15","TCP","54","443  >  36970 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"49","16.846906","157.240.196.60","10.0.2.15","TLSv1.2","93","Application Data"
"50","16.846933","10.0.2.15","157.240.196.60","TCP","54","36970  >  443 [ACK] Seq=40 Ack=40 Win=64028 Len=0"
"51","16.973066","157.240.196.60","10.0.2.15","TLSv1.2","295","Application Data"
"52","16.973097","10.0.2.15","157.240.196.60","TCP","54","43620  >  443 [ACK] Seq=952 Ack=2554 Win=65535 Len=0"
"53","17.034243","10.0.2.15","157.240.196.60","TLSv1.2","143","Application Data"
"54","17.034666","157.240.196.60","10.0.2.15","TCP","54","443  >  43620 [ACK] Seq=2554 Ack=1041 Win=65535 Len=0"
"55","17.287872","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
