"No.","Time","Source","Destination","Protocol","Length","Info"
"13","0.667068","192.168.0.10","157.240.251.61","TCP","79","64144  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=515 Len=25 [TCP segment of a reassembled PDU]"
"14","0.748218","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1 Ack=26 Win=3735 Len=0"
"153","10.804394","192.168.0.10","157.240.251.61","TCP","101","64144  >  5222 [PSH, ACK] Seq=26 Ack=1 Win=515 Len=47 [TCP segment of a reassembled PDU]"
"158","10.880764","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1 Ack=73 Win=3735 Len=0"
"162","11.661994","192.168.0.10","157.240.251.61","TCP","93","64144  >  5222 [PSH, ACK] Seq=73 Ack=1 Win=515 Len=39 [TCP segment of a reassembled PDU]"
"164","11.738791","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1 Ack=112 Win=3735 Len=0"
"165","11.872796","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=1 Ack=112 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"166","11.872796","157.240.251.61","192.168.0.10","TCP","527","5222  >  64144 [PSH, ACK] Seq=513 Ack=112 Win=3735 Len=473 [TCP segment of a reassembled PDU]"
"167","11.873274","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=112 Ack=986 Win=512 Len=0"
"1266","15.575784","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=112 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1267","15.575784","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=1504 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1268","15.575784","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=2896 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1269","15.575784","192.168.0.10","157.240.251.61","TCP","596","64144  >  5222 [PSH, ACK] Seq=4288 Ack=986 Win=512 Len=542 [TCP segment of a reassembled PDU]"
"1272","15.629692","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=4830 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
