"No.","Time","Source","Destination","Protocol","Length","Info"
"78","7.063382","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=1 Ack=1 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"79","7.066130","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=513 Ack=1 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"80","7.066130","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=1025 Ack=1 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"81","7.066507","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1 Ack=1025 Win=516 Len=0"
"86","7.107015","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1 Ack=1269 Win=515 Len=0"
"87","7.108475","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1 Ack=1269 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"89","7.181226","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1269 Ack=71 Win=3725 Len=0"
"281","9.648829","192.168.0.10","157.240.251.61","TCP","94","64144  >  5222 [PSH, ACK] Seq=71 Ack=1269 Win=515 Len=40 [TCP segment of a reassembled PDU]"
"283","9.721220","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1269 Ack=111 Win=3725 Len=0"
"287","9.891891","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=1269 Ack=111 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"288","9.891891","157.240.251.61","192.168.0.10","TCP","527","5222  >  64144 [PSH, ACK] Seq=1781 Ack=111 Win=3725 Len=473 [TCP segment of a reassembled PDU]"
"289","9.892306","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=111 Ack=2254 Win=511 Len=0"
"694","11.942633","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=2254 Ack=111 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"715","11.956111","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=111 Ack=2329 Win=511 Len=71 [TCP segment of a reassembled PDU]"
"750","12.050202","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2329 Ack=182 Win=3725 Len=0"
"1018","18.289930","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=2329 Ack=182 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1019","18.293040","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=2841 Ack=182 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1020","18.293040","157.240.251.61","192.168.0.10","TCP","298","5222  >  64144 [PSH, ACK] Seq=3353 Ack=182 Win=3725 Len=244 [TCP segment of a reassembled PDU]"
"1025","18.293455","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=182 Ack=3353 Win=516 Len=0"
"1027","18.298066","157.240.251.61","192.168.0.10","TCP","298","[TCP Retransmission] 5222  >  64144 [PSH, ACK] Seq=3353 Ack=182 Win=3725 Len=244"
"1028","18.298296","192.168.0.10","157.240.251.61","TCP","66","64144  >  5222 [ACK] Seq=182 Ack=3597 Win=515 Len=0 SLE=3353 SRE=3597"
"1031","18.321636","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=182 Ack=3597 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"1035","18.408029","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3597 Ack=252 Win=3725 Len=0"
"1084","21.551963","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=3597 Ack=252 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1085","21.551963","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=4109 Ack=252 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1086","21.552417","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=252 Ack=4621 Win=511 Len=0"
"1087","21.552704","157.240.251.61","192.168.0.10","TCP","282","5222  >  64144 [PSH, ACK] Seq=4621 Ack=252 Win=3725 Len=228 [TCP segment of a reassembled PDU]"
"1092","21.575397","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=252 Ack=4849 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1096","21.651052","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4849 Ack=322 Win=3725 Len=0"
"1112","22.380153","157.240.251.61","192.168.0.10","TCP","204","5222  >  64144 [PSH, ACK] Seq=4849 Ack=322 Win=3725 Len=150 [TCP segment of a reassembled PDU]"
