"No.","Time","Source","Destination","Protocol","Length","Info"
"8","0.075984","192.168.0.10","192.168.0.3","TCP","164","63830  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=110 [TCP segment of a reassembled PDU]"
"9","0.095220","192.168.0.3","192.168.0.10","TCP","164","8009  >  63830 [PSH, ACK] Seq=1 Ack=111 Win=712 Len=110 [TCP segment of a reassembled PDU]"
"11","0.137740","157.240.251.60","192.168.0.10","TLSv1.2","93","Application Data"
"12","0.137931","192.168.0.10","157.240.251.60","TCP","54","64152  >  443 [ACK] Seq=1 Ack=40 Win=1022 Len=0"
"13","0.138135","157.240.251.60","192.168.0.10","TCP","56","443  >  64152 [FIN, ACK] Seq=40 Ack=1 Win=265 Len=0"
"14","0.138212","192.168.0.10","157.240.251.60","TCP","54","64152  >  443 [ACK] Seq=1 Ack=41 Win=1022 Len=0"
"15","0.138521","192.168.0.10","157.240.251.60","TCP","54","64152  >  443 [FIN, ACK] Seq=1 Ack=41 Win=1022 Len=0"
"16","0.139458","192.168.0.10","192.168.0.3","TCP","54","63830  >  8009 [ACK] Seq=111 Ack=111 Win=511 Len=0"
"17","0.215838","157.240.251.60","192.168.0.10","TCP","56","443  >  64152 [ACK] Seq=41 Ack=2 Win=265 Len=0"
"18","0.425120","192.168.0.10","192.168.0.60","TCP","164","63865  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=110 [TCP segment of a reassembled PDU]"
"19","0.432100","192.168.0.60","192.168.0.10","TCP","164","8009  >  63865 [PSH, ACK] Seq=1 Ack=111 Win=1419 Len=110 [TCP segment of a reassembled PDU]"
"20","0.487247","192.168.0.10","192.168.0.60","TCP","54","63865  >  8009 [ACK] Seq=111 Ack=111 Win=509 Len=0"
"21","0.487591","192.168.0.10","192.168.0.60","TCP","164","63867  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=110 [TCP segment of a reassembled PDU]"
"22","0.496795","192.168.0.60","192.168.0.10","TCP","164","8009  >  63867 [PSH, ACK] Seq=1 Ack=111 Win=1419 Len=110 [TCP segment of a reassembled PDU]"
