"No.","Time","Source","Destination","Protocol","Length","Info"
"38","3.799009","157.240.251.61","192.168.0.10","TCP","125","5222  >  64144 [PSH, ACK] Seq=1 Ack=1 Win=3725 Len=71 [TCP segment of a reassembled PDU]"
"39","3.800796","192.168.0.10","157.240.251.61","TCP","100","64144  >  5222 [PSH, ACK] Seq=1 Ack=72 Win=513 Len=46 [TCP segment of a reassembled PDU]"
"42","3.881528","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=72 Ack=47 Win=3725 Len=0"
"107","9.102343","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=72 Ack=47 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"108","9.103759","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=584 Ack=47 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"109","9.103759","157.240.251.61","192.168.0.10","TCP","424","5222  >  64144 [PSH, ACK] Seq=1096 Ack=47 Win=3725 Len=370 [TCP segment of a reassembled PDU]"
"110","9.104010","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=47 Ack=1096 Win=516 Len=0"
"112","9.123208","192.168.0.10","157.240.251.61","TCP","121","64144  >  5222 [PSH, ACK] Seq=47 Ack=1466 Win=515 Len=67 [TCP segment of a reassembled PDU]"
"120","9.194138","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1466 Ack=114 Win=3725 Len=0"
"128","9.352182","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=1466 Ack=114 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"129","9.352182","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=1978 Ack=114 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"130","9.352553","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=114 Ack=2490 Win=516 Len=0"
"131","9.356306","157.240.251.61","192.168.0.10","TCP","504","5222  >  64144 [PSH, ACK] Seq=2490 Ack=114 Win=3725 Len=450 [TCP segment of a reassembled PDU]"
"137","9.377349","192.168.0.10","157.240.251.61","TCP","121","64144  >  5222 [PSH, ACK] Seq=114 Ack=2940 Win=514 Len=67 [TCP segment of a reassembled PDU]"
"140","9.464061","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2940 Ack=181 Win=3725 Len=0"
"142","9.611790","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=2940 Ack=181 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"143","9.611790","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=3452 Ack=181 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"144","9.612442","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=181 Ack=3964 Win=516 Len=0"
"145","9.613473","157.240.251.61","192.168.0.10","TCP","440","5222  >  64144 [PSH, ACK] Seq=3964 Ack=181 Win=3725 Len=386 [TCP segment of a reassembled PDU]"
"150","9.643917","192.168.0.10","157.240.251.61","TCP","121","64144  >  5222 [PSH, ACK] Seq=181 Ack=4350 Win=515 Len=67 [TCP segment of a reassembled PDU]"
"152","9.721576","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4350 Ack=248 Win=3725 Len=0"
"155","9.975710","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=4350 Ack=248 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"156","9.975710","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=4862 Ack=248 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"157","9.976019","157.240.251.61","192.168.0.10","TCP","521","5222  >  64144 [PSH, ACK] Seq=5374 Ack=248 Win=3725 Len=467 [TCP segment of a reassembled PDU]"
"158","9.976161","157.240.251.61","192.168.0.10","TCP","85","5222  >  64144 [PSH, ACK] Seq=5841 Ack=248 Win=3725 Len=31 [TCP segment of a reassembled PDU]"
"160","9.976303","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=248 Ack=5374 Win=516 Len=0"
"161","9.976743","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=248 Ack=5872 Win=514 Len=0"
"168","10.032753","192.168.0.10","157.240.251.61","TCP","121","64144  >  5222 [PSH, ACK] Seq=248 Ack=5872 Win=514 Len=67 [TCP segment of a reassembled PDU]"
"172","10.112565","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=5872 Ack=315 Win=3725 Len=0"
"179","10.667914","157.240.251.61","192.168.0.10","TCP","115","5222  >  64144 [PSH, ACK] Seq=5872 Ack=315 Win=3725 Len=61 [TCP segment of a reassembled PDU]"
"181","10.668856","157.240.251.61","192.168.0.10","TCP","115","5222  >  64144 [PSH, ACK] Seq=5933 Ack=315 Win=3725 Len=61 [TCP segment of a reassembled PDU]"
"182","10.669168","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=315 Ack=5994 Win=514 Len=0"
"187","10.772355","157.240.251.61","192.168.0.10","TCP","115","5222  >  64144 [PSH, ACK] Seq=5994 Ack=315 Win=3725 Len=61 [TCP segment of a reassembled PDU]"
"189","10.826009","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=315 Ack=6055 Win=513 Len=0"
"193","10.883349","157.240.251.61","192.168.0.10","TCP","115","5222  >  64144 [PSH, ACK] Seq=6055 Ack=315 Win=3725 Len=61 [TCP segment of a reassembled PDU]"
"198","10.931286","192.168.0.10","157.240.251.61","TCP","111","64144  >  5222 [PSH, ACK] Seq=315 Ack=6116 Win=513 Len=57 [TCP segment of a reassembled PDU]"
"199","10.935228","192.168.0.10","157.240.251.61","TCP","111","64144  >  5222 [PSH, ACK] Seq=372 Ack=6116 Win=513 Len=57 [TCP segment of a reassembled PDU]"
"201","10.939644","192.168.0.10","157.240.251.61","TCP","111","64144  >  5222 [PSH, ACK] Seq=429 Ack=6116 Win=513 Len=57 [TCP segment of a reassembled PDU]"
"202","10.944608","192.168.0.10","157.240.251.61","TCP","111","64144  >  5222 [PSH, ACK] Seq=486 Ack=6116 Win=513 Len=57 [TCP segment of a reassembled PDU]"
"206","11.012856","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6116 Ack=372 Win=3725 Len=0"
"207","11.012856","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6116 Ack=429 Win=3725 Len=0"
"212","11.021441","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6116 Ack=486 Win=3725 Len=0"
"215","11.076174","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6116 Ack=543 Win=3725 Len=0"
"232","12.493074","157.240.251.61","192.168.0.10","TCP","125","5222  >  64144 [PSH, ACK] Seq=6116 Ack=543 Win=3725 Len=71 [TCP segment of a reassembled PDU]"
"238","12.534462","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=543 Ack=6187 Win=513 Len=0"
"239","12.587934","192.168.0.10","157.240.251.61","TCP","100","64144  >  5222 [PSH, ACK] Seq=543 Ack=6187 Win=513 Len=46 [TCP segment of a reassembled PDU]"
"241","12.660495","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6187 Ack=589 Win=3725 Len=0"
"335","20.160131","192.168.0.10","157.240.251.61","TCP","1054","64144  >  5222 [PSH, ACK] Seq=589 Ack=6187 Win=513 Len=1000 [TCP segment of a reassembled PDU]"
"336","20.250024","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6187 Ack=1589 Win=3735 Len=0"
"337","20.363583","157.240.251.61","192.168.0.10","TCP","93","5222  >  64144 [PSH, ACK] Seq=6187 Ack=1589 Win=3735 Len=39 [TCP segment of a reassembled PDU]"
"338","20.408483","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1589 Ack=6226 Win=513 Len=0"
"379","25.482823","157.240.251.61","192.168.0.10","TCP","125","5222  >  64144 [PSH, ACK] Seq=6226 Ack=1589 Win=3735 Len=71 [TCP segment of a reassembled PDU]"
"380","25.484486","192.168.0.10","157.240.251.61","TCP","100","64144  >  5222 [PSH, ACK] Seq=1589 Ack=6297 Win=512 Len=46 [TCP segment of a reassembled PDU]"
"383","25.555738","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6297 Ack=1635 Win=3735 Len=0"
"478","29.625924","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=6297 Ack=1635 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"479","29.625924","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=6809 Ack=1635 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"480","29.625924","157.240.251.61","192.168.0.10","TCP","393","5222  >  64144 [PSH, ACK] Seq=7321 Ack=1635 Win=3735 Len=339 [TCP segment of a reassembled PDU]"
"481","29.626333","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1635 Ack=7321 Win=516 Len=0"
"488","29.652295","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1635 Ack=7660 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"490","29.730055","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7660 Ack=1705 Win=3735 Len=0"
"491","29.858433","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=7660 Ack=1705 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"492","29.858433","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=8172 Ack=1705 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"493","29.858678","157.240.251.61","192.168.0.10","TCP","457","5222  >  64144 [PSH, ACK] Seq=8684 Ack=1705 Win=3735 Len=403 [TCP segment of a reassembled PDU]"
"494","29.858968","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1705 Ack=8684 Win=511 Len=0"
"499","29.884332","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1705 Ack=9087 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"502","29.956252","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=9087 Ack=1775 Win=3735 Len=0"
"504","30.088329","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=9087 Ack=1775 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"505","30.097331","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=9599 Ack=1775 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"506","30.097331","157.240.251.61","192.168.0.10","TCP","409","5222  >  64144 [PSH, ACK] Seq=10111 Ack=1775 Win=3735 Len=355 [TCP segment of a reassembled PDU]"
"510","30.097967","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1775 Ack=10111 Win=512 Len=0"
"512","30.134936","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1775 Ack=10466 Win=511 Len=70 [TCP segment of a reassembled PDU]"
"517","30.205195","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=10466 Ack=1845 Win=3735 Len=0"
"523","30.417326","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=10466 Ack=1845 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"524","30.417326","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=10978 Ack=1845 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"525","30.418006","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1845 Ack=11490 Win=516 Len=0"
"526","30.419901","157.240.251.61","192.168.0.10","TCP","505","5222  >  64144 [PSH, ACK] Seq=11490 Ack=1845 Win=3735 Len=451 [TCP segment of a reassembled PDU]"
"531","30.443473","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1845 Ack=11941 Win=514 Len=70 [TCP segment of a reassembled PDU]"
"535","30.609079","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=11941 Ack=1915 Win=3735 Len=0"
"547","31.592504","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=11941 Ack=1915 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"548","31.610321","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=12016 Ack=1915 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"549","31.610862","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1915 Ack=12091 Win=514 Len=0"
"552","31.749515","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=12091 Ack=1915 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"555","31.799104","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1915 Ack=12166 Win=513 Len=0"
"557","31.839726","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=12166 Ack=1915 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"558","31.893758","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1915 Ack=12241 Win=513 Len=0"
"560","32.033917","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1915 Ack=12241 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"565","32.071146","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1986 Ack=12241 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"568","32.101743","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2057 Ack=12241 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"569","32.104446","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=12241 Ack=1986 Win=3735 Len=0"
"570","32.112235","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2128 Ack=12241 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"573","32.147327","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=12241 Ack=2057 Win=3735 Len=0"
"574","32.178781","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=12241 Ack=2128 Win=3735 Len=0"
"575","32.186474","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=12241 Ack=2199 Win=3735 Len=0"
"677","42.770513","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=12241 Ack=2199 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"678","42.772415","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=12753 Ack=2199 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"679","42.772415","157.240.251.61","192.168.0.10","TCP","393","5222  >  64144 [PSH, ACK] Seq=13265 Ack=2199 Win=3735 Len=339 [TCP segment of a reassembled PDU]"
"680","42.772769","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2199 Ack=13265 Win=516 Len=0"
"685","42.793202","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2199 Ack=13604 Win=515 Len=70 [TCP segment of a reassembled PDU]"
"688","42.890161","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=13604 Ack=2269 Win=3735 Len=0"
"693","43.064407","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=13604 Ack=2269 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"694","43.064407","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=14116 Ack=2269 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"695","43.064407","157.240.251.61","192.168.0.10","TCP","457","5222  >  64144 [PSH, ACK] Seq=14628 Ack=2269 Win=3735 Len=403 [TCP segment of a reassembled PDU]"
