"No.","Time","Source","Destination","Protocol","Length","Info"
"102","5.946282","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=1 Ack=1 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"103","5.946282","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=513 Ack=1 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"106","5.947070","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1 Ack=692 Win=516 Len=0"
"108","5.999946","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1 Ack=692 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"110","6.074788","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=692 Ack=71 Win=3725 Len=0"
"114","6.216687","192.168.0.10","157.240.251.61","TCP","94","64144  >  5222 [PSH, ACK] Seq=71 Ack=692 Win=516 Len=40 [TCP segment of a reassembled PDU]"
"116","6.296232","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=692 Ack=111 Win=3725 Len=0"
"117","6.424809","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=692 Ack=111 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"118","6.424809","157.240.251.61","192.168.0.10","TCP","527","5222  >  64144 [PSH, ACK] Seq=1204 Ack=111 Win=3725 Len=473 [TCP segment of a reassembled PDU]"
"119","6.425199","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=111 Ack=1677 Win=512 Len=0"
"310","9.477852","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=1677 Ack=111 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"311","9.484246","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=111 Ack=1752 Win=512 Len=71 [TCP segment of a reassembled PDU]"
"312","9.570919","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1752 Ack=182 Win=3725 Len=0"
"361","12.888563","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=1752 Ack=182 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"362","12.890990","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=2264 Ack=182 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"365","12.891195","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=182 Ack=2443 Win=516 Len=0"
"368","12.918734","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=182 Ack=2443 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"369","12.992923","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2443 Ack=252 Win=3725 Len=0"
"449","16.170647","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=2443 Ack=252 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"450","16.180207","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=252 Ack=2518 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"454","16.254499","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2518 Ack=323 Win=3725 Len=0"
"513","20.854247","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=2518 Ack=323 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"514","20.855707","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=3030 Ack=323 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"516","20.855927","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=323 Ack=3209 Win=513 Len=0"
"519","20.886165","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=323 Ack=3209 Win=513 Len=70 [TCP segment of a reassembled PDU]"
"520","20.958714","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3209 Ack=393 Win=3725 Len=0"
"611","24.155669","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=3209 Ack=393 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"612","24.161996","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=393 Ack=3284 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"615","24.232739","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3284 Ack=464 Win=3725 Len=0"
"668","28.605497","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=3284 Ack=464 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"669","28.607262","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=3796 Ack=464 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"672","28.607587","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=464 Ack=3975 Win=516 Len=0"
"674","28.639955","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=464 Ack=3975 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"675","28.711156","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=3975 Ack=534 Win=3725 Len=0"
"792","31.974088","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=3975 Ack=534 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"793","31.979332","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=534 Ack=4050 Win=516 Len=71 [TCP segment of a reassembled PDU]"
